"Q3";"Q9";"Q16_Part_1";"Q16_Part_2"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"100-125,000";"Python";""
"Other";"0-10,000";"Python";""
"Pakistan";"0-10,000";"Python";"R"
"Germany";"70-80,000";"Python";""
"Canada";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Spain";"60-70,000";"Python";""
"United States of America";"150-200,000";"Python";""
"Poland";"30-40,000";"";"R"
"Belgium";"60-70,000";"Python";""
"Germany";"80-90,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"80-90,000";"Python";""
"United States of America";"20-30,000";"";"R"
"United States of America";"70-80,000";"Python";"R"
"United States of America";"100-125,000";"Python";"R"
"Italy";"40-50,000";"Python";""
"Colombia";"0-10,000";"Python";""
"United States of America";"90-100,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"0-10,000";"Python";"R"
"Austria";"90-100,000";"Python";""
"United States of America";"100-125,000";"Python";""
"Canada";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Colombia";"I do not wish to disclose my approximate yearly compensation";"";"R"
"I do not wish to disclose my location";"150-200,000";"Python";"R"
"Other";"20-30,000";"Python";"R"
"United States of America";"50-60,000";"Python";"R"
"United Kingdom of Great Britain and Northern Ireland";"40-50,000";"Python";"R"
"United States of America";"70-80,000";"Python";"R"
"Brazil";"50-60,000";"Python";"R"
"Turkey";"100-125,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"250-300,000";"";""
"United States of America";"125-150,000";"Python";""
"United States of America";"150-200,000";"";""
"United States of America";"200-250,000";"Python";"R"
"United States of America";"0-10,000";"Python";"R"
"France";"30-40,000";"";"R"
"France";"90-100,000";"Python";"R"
"Ukraine";"20-30,000";"Python";"R"
"India";"0-10,000";"Python";"R"
"Other";"20-30,000";"Python";""
"United States of America";"125-150,000";"";"R"
"United States of America";"50-60,000";"Python";""
"United States of America";"150-200,000";"Python";""
"United States of America";"100-125,000";"Python";""
"United States of America";"50-60,000";"";"R"
"Egypt";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Canada";"";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"300-400,000";"";"R"
"Other";"50-60,000";"Python";""
"Germany";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"90-100,000";"Python";"R"
"France";"20-30,000";"Python";"R"
"Other";"30-40,000";"Python";""
"United States of America";"90-100,000";"Python";""
"United States of America";"0-10,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Brazil";"20-30,000";"";""
"United States of America";"125-150,000";"";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Denmark";"60-70,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"40-50,000";"Python";""
"Colombia";"10-20,000";"Python";"R"
"Spain";"20-30,000";"Python";""
"Belgium";"30-40,000";"";""
"Argentina";"0-10,000";"Python";""
"United States of America";"150-200,000";"";"R"
"Sweden";"60-70,000";"Python";""
"Greece";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"";"";"R"
"Other";"20-30,000";"Python";""
"Denmark";"100-125,000";"Python";"R"
"Argentina";"0-10,000";"";"R"
"Other";"50-60,000";"Python";""
"Mexico";"20-30,000";"Python";""
"United States of America";"10-20,000";"Python";"R"
"United States of America";"100-125,000";"Python";""
"Russia";"20-30,000";"Python";""
"South Africa";"40-50,000";"";""
"Mexico";"70-80,000";"Python";"R"
"Germany";"";"Python";""
"New Zealand";"40-50,000";"Python";"R"
"Belgium";"50-60,000";"";"R"
"United States of America";"90-100,000";"";"R"
"Portugal";"0-10,000";"Python";"R"
"United States of America";"70-80,000";"";""
"United States of America";"40-50,000";"Python";""
"United States of America";"0-10,000";"Python";"R"
"United States of America";"200-250,000";"Python";"R"
"Egypt";"0-10,000";"Python";""
"Russia";"10-20,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"100-125,000";"Python";""
"Australia";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Switzerland";"100-125,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"";""
"Germany";"80-90,000";"";"R"
"United States of America";"125-150,000";"Python";"R"
"Italy";"30-40,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"150-200,000";"";"R"
"United States of America";"60-70,000";"Python";"R"
"Australia";"30-40,000";"";""
"India";"10-20,000";"Python";""
"Other";"70-80,000";"Python";""
"Russia";"20-30,000";"Python";"R"
"India";"";"Python";""
"United States of America";"0-10,000";"Python";""
"United States of America";"0-10,000";"Python";""
"Denmark";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"200-250,000";"Python";""
"India";"0-10,000";"Python";"R"
"Other";"I do not wish to disclose my approximate yearly compensation";"";""
"Canada";"40-50,000";"Python";""
"Mexico";"40-50,000";"Python";"R"
"Spain";"20-30,000";"";""
"United States of America";"0-10,000";"Python";""
"United States of America";"60-70,000";"Python";"R"
"Sweden";"50-60,000";"Python";""
"United States of America";"0-10,000";"Python";"R"
"Poland";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Canada";"100-125,000";"Python";"R"
"United States of America";"90-100,000";"";"R"
"United Kingdom of Great Britain and Northern Ireland";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Italy";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"70-80,000";"Python";"R"
"Ireland";"";"Python";""
"Germany";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Morocco";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Canada";"10-20,000";"Python";"R"
"United States of America";"100-125,000";"Python";"R"
"France";"100-125,000";"";"R"
"United States of America";"70-80,000";"Python";""
"Australia";"";"Python";""
"I do not wish to disclose my location";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"125-150,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Mexico";"30-40,000";"Python";"R"
"United States of America";"125-150,000";"Python";""
"Russia";"20-30,000";"Python";""
"Iran, Islamic Republic of...";"";"Python";""
"United States of America";"0-10,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"I do not wish to disclose my location";"I do not wish to disclose my approximate yearly compensation";"";"R"
"United States of America";"0-10,000";"";""
"Turkey";"0-10,000";"Python";"R"
"United States of America";"0-10,000";"Python";""
"Other";"0-10,000";"Python";""
"Italy";"20-30,000";"";""
"United States of America";"100-125,000";"Python";""
"Canada";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Belarus";"0-10,000";"Python";""
"Turkey";"30-40,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"150-200,000";"Python";""
"United States of America";"90-100,000";"";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Canada";"";"Python";"R"
"Italy";"10-20,000";"Python";""
"Other";"90-100,000";"Python";"R"
"United States of America";"125-150,000";"Python";""
"Germany";"50-60,000";"";"R"
"Argentina";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"80-90,000";"Python";"R"
"Brazil";"0-10,000";"Python";""
"Russia";"20-30,000";"Python";""
"Germany";"40-50,000";"Python";""
"United States of America";"100-125,000";"";""
"Russia";"10-20,000";"Python";""
"Ukraine";"0-10,000";"Python";""
"United States of America";"0-10,000";"Python";"R"
"United Kingdom of Great Britain and Northern Ireland";"0-10,000";"Python";""
"I do not wish to disclose my location";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"100-125,000";"Python";""
"Spain";"40-50,000";"Python";"R"
"Canada";"30-40,000";"Python";""
"United States of America";"80-90,000";"Python";"R"
"France";"60-70,000";"Python";""
"Canada";"40-50,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Turkey";"0-10,000";"Python";""
"Argentina";"20-30,000";"Python";"R"
"United States of America";"30-40,000";"Python";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"20-30,000";"Python";""
"United States of America";"0-10,000";"Python";""
"United States of America";"";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Other";"0-10,000";"Python";""
"Germany";"60-70,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Russia";"30-40,000";"";""
"Ukraine";"I do not wish to disclose my approximate yearly compensation";"";"R"
"United States of America";"";"Python";""
"United States of America";"150-200,000";"Python";""
"United States of America";"125-150,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"50-60,000";"Python";""
"United States of America";"100-125,000";"Python";""
"Kenya";"30-40,000";"Python";""
"Brazil";"10-20,000";"Python";""
"Egypt";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"30-40,000";"Python";""
"United States of America";"90-100,000";"Python";"R"
"United States of America";"0-10,000";"Python";"R"
"Germany";"80-90,000";"";"R"
"United Kingdom of Great Britain and Northern Ireland";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Singapore";"125-150,000";"Python";"R"
"United States of America";"40-50,000";"Python";""
"United States of America";"0-10,000";"Python";""
"United States of America";"60-70,000";"Python";""
"Ukraine";"0-10,000";"Python";"R"
"United States of America";"125-150,000";"Python";"R"
"United States of America";"40-50,000";"Python";"R"
"Italy";"30-40,000";"";"R"
"Mexico";"0-10,000";"";""
"Canada";"50-60,000";"Python";""
"Portugal";"20-30,000";"";""
"Sweden";"0-10,000";"";"R"
"Mexico";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Romania";"20-30,000";"";"R"
"Russia";"0-10,000";"Python";"R"
"Russia";"40-50,000";"Python";""
"Canada";"40-50,000";"";"R"
"Japan";"0-10,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"100-125,000";"Python";"R"
"United States of America";"60-70,000";"";"R"
"Portugal";"0-10,000";"Python";"R"
"United States of America";"100-125,000";"Python";"R"
"Denmark";"60-70,000";"";""
"Brazil";"50-60,000";"Python";"R"
"United States of America";"70-80,000";"Python";"R"
"Germany";"70-80,000";"Python";""
"Germany";"50-60,000";"";"R"
"Colombia";"60-70,000";"Python";"R"
"United States of America";"0-10,000";"";""
"United States of America";"30-40,000";"Python";""
"Nigeria";"0-10,000";"Python";""
"Australia";"90-100,000";"Python";""
"Colombia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Germany";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"0-10,000";"Python";""
"Poland";"30-40,000";"Python";""
"United States of America";"";"Python";""
"Chile";"0-10,000";"Python";"R"
"Spain";"50-60,000";"Python";""
"France";"40-50,000";"Python";""
"Netherlands";"125-150,000";"Python";""
"Italy";"0-10,000";"Python";""
"Russia";"20-30,000";"Python";""
"South Africa";"0-10,000";"Python";"R"
"Germany";"70-80,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"100-125,000";"Python";""
"United States of America";"0-10,000";"Python";""
"Spain";"70-80,000";"";"R"
"United States of America";"40-50,000";"";"R"
"Belgium";"10-20,000";"Python";"R"
"Russia";"70-80,000";"Python";""
"Mexico";"I do not wish to disclose my approximate yearly compensation";"";""
"Israel";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"";"Python";"R"
"United States of America";"150-200,000";"";"R"
"United States of America";"";"Python";""
"I do not wish to disclose my location";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Germany";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Brazil";"20-30,000";"Python";"R"
"Poland";"0-10,000";"Python";""
"Turkey";"10-20,000";"Python";""
"United States of America";"40-50,000";"Python";"R"
"Canada";"10-20,000";"Python";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"0-10,000";"Python";"R"
"United States of America";"150-200,000";"Python";""
"Ukraine";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"70-80,000";"";"R"
"United States of America";"30-40,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"125-150,000";"Python";"R"
"Other";"";"Python";""
"United States of America";"50-60,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"Mexico";"20-30,000";"Python";""
"Poland";"10-20,000";"Python";"R"
"Czech Republic";"30-40,000";"Python";""
"Canada";"70-80,000";"Python";""
"Russia";"0-10,000";"Python";"R"
"Japan";"125-150,000";"Python";""
"United States of America";"50-60,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"125-150,000";"Python";"R"
"United States of America";"60-70,000";"Python";""
"United States of America";"125-150,000";"Python";""
"United States of America";"70-80,000";"Python";"R"
"United States of America";"30-40,000";"Python";"R"
"United Kingdom of Great Britain and Northern Ireland";"20-30,000";"Python";"R"
"United States of America";"125-150,000";"Python";"R"
"United States of America";"";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Brazil";"10-20,000";"Python";""
"Other";"I do not wish to disclose my approximate yearly compensation";"";""
"Other";"";"Python";""
"Ukraine";"0-10,000";"Python";""
"United States of America";"150-200,000";"Python";""
"Colombia";"0-10,000";"Python";""
"India";"I do not wish to disclose my approximate yearly compensation";"";""
"Belarus";"I do not wish to disclose my approximate yearly compensation";"";""
"Australia";"I do not wish to disclose my approximate yearly compensation";"";""
"United States of America";"150-200,000";"";"R"
"Poland";"";"Python";""
"United States of America";"90-100,000";"Python";""
"United States of America";"70-80,000";"Python";"R"
"Brazil";"0-10,000";"Python";""
"Belarus";"0-10,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Mexico";"20-30,000";"Python";""
"Other";"80-90,000";"Python";"R"
"Switzerland";"40-50,000";"Python";"R"
"Other";"0-10,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Denmark";"125-150,000";"Python";"R"
"United Kingdom of Great Britain and Northern Ireland";"20-30,000";"Python";""
"United States of America";"200-250,000";"Python";"R"
"United States of America";"125-150,000";"Python";""
"Brazil";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Poland";"10-20,000";"Python";""
"Spain";"40-50,000";"";"R"
"Mexico";"";"Python";""
"Germany";"";"Python";"R"
"Brazil";"0-10,000";"";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"80-90,000";"";"R"
"Brazil";"20-30,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Russia";"I do not wish to disclose my approximate yearly compensation";"";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"";"R"
"United States of America";"100-125,000";"Python";"R"
"United States of America";"30-40,000";"";""
"United States of America";"100-125,000";"";"R"
"United States of America";"150-200,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"United States of America";"70-80,000";"Python";""
"Egypt";"0-10,000";"Python";"R"
"Czech Republic";"30-40,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"80-90,000";"Python";""
"Romania";"";"";"R"
"Denmark";"70-80,000";"";""
"United States of America";"150-200,000";"Python";""
"Other";"10-20,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Netherlands";"100-125,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Russia";"125-150,000";"";"R"
"France";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Poland";"30-40,000";"";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"60-70,000";"Python";""
"Japan";"50-60,000";"Python";""
"Russia";"10-20,000";"Python";""
"Germany";"30-40,000";"";""
"Nigeria";"0-10,000";"Python";""
"United States of America";"30-40,000";"";"R"
"Other";"0-10,000";"Python";""
"Canada";"150-200,000";"Python";"R"
"India";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"30-40,000";"Python";"R"
"United States of America";"125-150,000";"";""
"United States of America";"100-125,000";"Python";""
"Canada";"40-50,000";"Python";""
"Germany";"60-70,000";"Python";""
"Philippines";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Switzerland";"200-250,000";"Python";""
"Ireland";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Brazil";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"10-20,000";"Python";""
"Other";"40-50,000";"Python";""
"United States of America";"10-20,000";"Python";"R"
"Portugal";"40-50,000";"Python";""
"Spain";"30-40,000";"Python";"R"
"Russia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Nigeria";"0-10,000";"Python";""
"United States of America";"0-10,000";"Python";""
"Italy";"20-30,000";"Python";""
"Russia";"80-90,000";"Python";""
"Russia";"0-10,000";"Python";""
"Mexico";"0-10,000";"Python";"R"
"Spain";"30-40,000";"Python";"R"
"Belgium";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Germany";"";"Python";"R"
"Spain";"10-20,000";"";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"0-10,000";"Python";"R"
"Turkey";"10-20,000";"";"R"
"United Kingdom of Great Britain and Northern Ireland";"50-60,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Colombia";"10-20,000";"Python";"R"
"Argentina";"I do not wish to disclose my approximate yearly compensation";"";""
"Spain";"40-50,000";"Python";""
"Germany";"10-20,000";"Python";"R"
"Israel";"125-150,000";"Python";""
"United States of America";"0-10,000";"Python";""
"Spain";"0-10,000";"Python";"R"
"United States of America";"300-400,000";"Python";""
"Belgium";"40-50,000";"";"R"
"Thailand";"10-20,000";"Python";""
"United States of America";"90-100,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Brazil";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Other";"20-30,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"70-80,000";"";""
"Hungary";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"100-125,000";"Python";""
"United States of America";"0-10,000";"";""
"Russia";"100-125,000";"Python";""
"Spain";"40-50,000";"";"R"
"Canada";"50-60,000";"Python";""
"United States of America";"150-200,000";"Python";"R"
"United States of America";"125-150,000";"Python";""
"United States of America";"70-80,000";"Python";"R"
"Egypt";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"0-10,000";"Python";""
"United States of America";"40-50,000";"Python";""
"United States of America";"0-10,000";"Python";"R"
"Russia";"0-10,000";"Python";""
"Denmark";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Japan";"100-125,000";"Python";"R"
"South Africa";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"70-80,000";"Python";""
"Tunisia";"0-10,000";"Python";"R"
"United States of America";"80-90,000";"Python";""
"United States of America";"";"Python";"R"
"United States of America";"40-50,000";"Python";""
"Australia";"80-90,000";"Python";"R"
"United States of America";"125-150,000";"Python";""
"United States of America";"150-200,000";"Python";""
"Hungary";"100-125,000";"";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Russia";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"India";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"50-60,000";"Python";""
"Turkey";"";"Python";""
"Sweden";"70-80,000";"Python";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"200-250,000";"Python";"R"
"United States of America";"150-200,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"Morocco";"0-10,000";"Python";"R"
"Switzerland";"80-90,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"0-10,000";"Python";"R"
"United States of America";"50-60,000";"Python";"R"
"Other";"40-50,000";"Python";""
"Ireland";"10-20,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"0-10,000";"Python";""
"Sweden";"";"Python";"R"
"United States of America";"100-125,000";"";""
"Japan";"40-50,000";"Python";""
"Russia";"20-30,000";"Python";""
"United States of America";"80-90,000";"Python";""
"Canada";"50-60,000";"";"R"
"Ukraine";"20-30,000";"Python";""
"Iran, Islamic Republic of...";"0-10,000";"Python";""
"Canada";"I do not wish to disclose my approximate yearly compensation";"";""
"United States of America";"125-150,000";"Python";""
"United States of America";"150-200,000";"Python";"R"
"Other";"0-10,000";"Python";"R"
"Brazil";"100-125,000";"Python";"R"
"Australia";"100-125,000";"Python";""
"France";"70-80,000";"Python";""
"United States of America";"10-20,000";"Python";""
"Sweden";"60-70,000";"Python";""
"United States of America";"10-20,000";"Python";"R"
"United States of America";"";"Python";"R"
"Nigeria";"0-10,000";"Python";""
"Brazil";"70-80,000";"Python";""
"United States of America";"60-70,000";"Python";""
"Canada";"90-100,000";"";""
"United States of America";"70-80,000";"Python";"R"
"United States of America";"40-50,000";"Python";"R"
"Singapore";"40-50,000";"Python";"R"
"United States of America";"90-100,000";"Python";"R"
"Mexico";"70-80,000";"";"R"
"Japan";"125-150,000";"Python";""
"United States of America";"10-20,000";"Python";""
"Australia";"50-60,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"";"R"
"United States of America";"125-150,000";"Python";"R"
"United States of America";"150-200,000";"Python";""
"United States of America";"0-10,000";"Python";""
"Switzerland";"0-10,000";"Python";""
"United States of America";"80-90,000";"Python";"R"
"United States of America";"50-60,000";"Python";""
"United States of America";"150-200,000";"Python";""
"Brazil";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Other";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Japan";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Australia";"125-150,000";"Python";""
"Ukraine";"0-10,000";"";""
"New Zealand";"60-70,000";"Python";"R"
"France";"0-10,000";"Python";"R"
"United States of America";"20-30,000";"Python";""
"Australia";"50-60,000";"Python";""
"Russia";"10-20,000";"Python";""
"Portugal";"50-60,000";"Python";"R"
"Germany";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"40-50,000";"Python";"R"
"Japan";"20-30,000";"Python";"R"
"United States of America";"";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Russia";"";"Python";""
"Sweden";"0-10,000";"Python";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Japan";"70-80,000";"Python";"R"
"Portugal";"10-20,000";"Python";""
"Netherlands";"60-70,000";"Python";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"125-150,000";"";"R"
"Indonesia";"10-20,000";"";""
"Japan";"80-90,000";"Python";""
"Brazil";"20-30,000";"Python";""
"Malaysia";"0-10,000";"";""
"United States of America";"100-125,000";"Python";"R"
"New Zealand";"60-70,000";"Python";""
"Japan";"90-100,000";"Python";""
"Australia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Australia";"70-80,000";"Python";"R"
"Finland";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Bangladesh";"";"Python";""
"Ireland";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Greece";"20-30,000";"";""
"United States of America";"125-150,000";"Python";""
"United States of America";"60-70,000";"Python";"R"
"Netherlands";"";"Python";""
"Brazil";"40-50,000";"Python";"R"
"United States of America";"";"Python";""
"United States of America";"0-10,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"";"R"
"United States of America";"20-30,000";"Python";"R"
"Other";"10-20,000";"Python";"R"
"Australia";"50-60,000";"Python";"R"
"Russia";"I do not wish to disclose my approximate yearly compensation";"";""
"United States of America";"125-150,000";"Python";""
"United States of America";"100-125,000";"";""
"United States of America";"";"";""
"United States of America";"70-80,000";"Python";"R"
"United States of America";"";"Python";"R"
"Spain";"10-20,000";"Python";"R"
"United Kingdom of Great Britain and Northern Ireland";"40-50,000";"Python";""
"Canada";"10-20,000";"";""
"United States of America";"150-200,000";"Python";""
"United States of America";"0-10,000";"";""
"Brazil";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Other";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"0-10,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"70-80,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"France";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"125-150,000";"Python";"R"
"Poland";"30-40,000";"Python";""
"United States of America";"125-150,000";"Python";""
"Russia";"";"";"R"
"Japan";"70-80,000";"Python";""
"United States of America";"100-125,000";"Python";""
"Egypt";"0-10,000";"Python";""
"Japan";"";"";""
"Israel";"50-60,000";"Python";""
"United States of America";"150-200,000";"Python";"R"
"Colombia";"0-10,000";"Python";""
"Australia";"60-70,000";"Python";"R"
"Australia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"100-125,000";"Python";""
"United States of America";"150-200,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"Russia";"10-20,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"";"R"
"United States of America";"80-90,000";"Python";""
"Ireland";"10-20,000";"Python";""
"United States of America";"60-70,000";"Python";"R"
"United States of America";"70-80,000";"Python";"R"
"India";"0-10,000";"Python";"R"
"United States of America";"90-100,000";"Python";""
"United States of America";"50-60,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Norway";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"30-40,000";"Python";""
"United States of America";"0-10,000";"Python";"R"
"United States of America";"60-70,000";"Python";""
"Canada";"40-50,000";"Python";""
"Argentina";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"125-150,000";"";"R"
"United States of America";"";"";"R"
"United States of America";"90-100,000";"Python";""
"United States of America";"10-20,000";"Python";"R"
"Norway";"0-10,000";"Python";""
"United States of America";"40-50,000";"Python";"R"
"India";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"200-250,000";"Python";"R"
"United States of America";"60-70,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"Republic of Korea";"20-30,000";"Python";""
"Spain";"100-125,000";"Python";""
"Argentina";"10-20,000";"Python";""
"Other";"";"Python";"R"
"Other";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Russia";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Colombia";"60-70,000";"Python";"R"
"United States of America";"30-40,000";"Python";""
"China";"";"Python";""
"Peru";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"125-150,000";"Python";""
"Canada";"90-100,000";"Python";"R"
"Mexico";"0-10,000";"Python";"R"
"United States of America";"150-200,000";"";"R"
"Australia";"90-100,000";"Python";""
"Other";"50-60,000";"Python";""
"Brazil";"0-10,000";"Python";""
"Argentina";"0-10,000";"Python";""
"United States of America";"125-150,000";"Python";"R"
"Brazil";"0-10,000";"Python";"R"
"Other";"0-10,000";"Python";""
"United States of America";"90-100,000";"Python";""
"United States of America";"80-90,000";"";"R"
"United States of America";"70-80,000";"Python";"R"
"Canada";"100-125,000";"Python";""
